;2024;%;2023;%;2024/2023;2024;%;2023;%;2024/2023;2024;2023;2024/2023;2024;2023;2024/2023;2024;2023;2024/2023
C.A. DE EUSKADI;3.764.003;100,0;3.687.240;100,0;2,1;7.457.707;100,0;7.214.545;100,0;3,4;1,98;1,96;1,3;57,7;57,8;-0,1;69,0;68,5;0,7
Residentes en el estado;1.998.539;53,1;2.013.945;54,6;-0,8;3.894.323;52,2;3.883.449;53,8;0,3;1,95;1,93;1,1;-;-;-;-;-;-
Residentes en el extranjero;1.765.464;46,9;1.673.295;45,4;5,5;3.563.384;47,8;3.331.096;46,2;7,0;2,02;1,99;1,4;-;-;-;-;-;-
;;;;;;;;;;;;;;;;;;;
ARABA/ÁLAVA;525.956;14,0;503.596;13,7;4,4;1.075.845;14,4;998.496;13,8;7,7;2,05;1,98;3,2;55,1;54,5;1,1;68,8;67,9;1,3
Residentes en el estado;361.741;68,8;349.857;69,5;3,4;741.935;69,0;699.341;70,0;6,1;2,05;2,00;2,6;-;-;-;-;-;-
Residentes en el extranjero;164.215;31,2;153.739;30,5;6,8;333.910;31,0;299.155;30,0;11,6;2,03;1,95;4,5;-;-;-;-;-;-
;;;;;;;;;;;;;;;;;;;
Vitoria-Gasteiz;407.217;77,4;385.087;76,5;5,7;872.929;81,1;799.431;80,1;9,2;2,14;2,08;3,3;56,4;55,6;1,5;72,9;71,8;1,6
Rioja Alavesa;69.887;13,3;69.225;13,7;1,0;113.917;10,6;114.162;11,4;-0,2;1,63;1,65;-1,2;51,7;53,5;-3,4;54,2;55,9;-3,1
Resto Álava;48.852;9,3;49.284;9,8;-0,9;88.999;8,3;84.903;8,5;4,8;1,82;1,72;5,8;47,9;46,9;2,2;55,0;54,0;1,9
;;;;;;;;;;;;;;;;;;;
BIZKAIA;1.665.846;44,3;1.688.130;45,8;-1,3;3.220.788;43,2;3.233.468;44,8;-0,4;1,93;1,92;0,9;55,7;56,0;-0,7;68,2;67,7;0,8
Residentes en el estado;899.682;54,0;937.583;55,5;-4,0;1.684.624;52,3;1.737.531;53,7;-3,0;1,87;1,85;1,0;-;-;-;-;-;-
Residentes en el extranjero;766.164;46,0;750.547;44,5;2,1;1.536.164;47,7;1.495.937;46,3;2,7;2,01;1,99;0,6;-;-;-;-;-;-
;;;;;;;;;;;;;;;;;;;
Bilbao;1.128.666;67,8;1.151.352;68,2;-2,0;2.211.004;68,6;2.233.620;69,1;-1,0;1,96;1,94;1,0;61,3;61,3;0,0;74,5;73,4;1,5
Área metropolitana (1);253.919;15,2;257.006;15,2;-1,2;442.840;13,7;450.295;13,9;-1,7;1,74;1,75;-0,5;46,9;48,6;-3,5;62,2;61,3;1,4
Bizkaia costa;158.917;9,5;146.940;8,7;8,2;310.466;9,6;278.356;8,6;11,5;1,95;1,89;3,1;46,5;45,1;3,1;56,5;56,8;-0,6
Bizkaia interior;124.344;7,5;132.832;7,9;-6,4;256.478;8,0;271.197;8,4;-5,4;2,06;2,04;1,0;45,2;46,7;-3,2;52,7;54,1;-2,5
;;;;;;;;;;;;;;;;;;;
GIPUZKOA;1.572.201;41,8;1.495.514;40,6;5,1;3.161.074;42,4;2.982.581;41,3;6,0;2,01;1,99;0,8;61,0;61,1;-0,1;69,9;69,6;0,4
Residentes en el estado;737.116;46,9;726.505;48,6;1,5;1.467.764;46,4;1.446.577;48,5;1,5;1,99;1,99;0,0;-;-;-;-;-;-
Residentes en el extranjero;835.085;53,1;769.009;51,4;8,6;1.693.310;53,6;1.536.004;51,5;10,2;2,03;2,00;1,5;-;-;-;-;-;-
;;;;;;;;;;;;;;;;;;;
Donostia / San Sebastián;1.029.670;65,5;960.282;64,2;7,2;2.132.783;67,5;1.947.513;65,3;9,5;2,07;2,03;2,1;65,8;65,8;0,1;74,3;73,4;1,2
Área metropolitana (1);124.885;7,9;126.406;8,5;-1,2;227.245;7,2;238.935;8,0;-4,9;1,82;1,89;-3,7;48,3;51,0;-5,3;60,3;63,0;-4,3
Gipuzkoa costa (1);288.638;18,4;281.092;18,8;2,7;490.312;15,5;486.327;16,3;0,8;1,70;1,73;-1,8;60,9;61,2;-0,5;69,0;68,7;0,4
Gipuzkoa interior;129.008;8,2;127.734;8,5;1,0;310.734;9,8;309.806;10,4;0,3;2,41;2,43;-0,7;46,8;47,0;-0,4;57,4;59,2;-3,0
;;;;;;;;;;;;;;;;;;;
(1) No incluye la capital;;;;;;;;;;;;;;;;;;;
